,post,class
19708,starvation and barrel bombs.,implicit_hate
13955,#cville welcome to police state america of the ussa . next they'll imprison our people in the gulags for our ideas .,not_hate
21026,What do you call a white girl who’s faster than her brothers? A redneck virgin,implicit_hate
21159,"Friend: how dark is your humor? Me: If you whip it enough, it will start picking cotton.",implicit_hate
9056,the democratization of nations was the opening for which islam has waited a thousand years .,implicit_hate
16097,i finally got around to joining twitter . #altright,not_hate
2519,rather like studying palestinian history . i fear .,not_hate
3402,no doubt trump not calling out antifa / leftists violence has emboldened the little domestic terrorists . great job  trump !,not_hate
16157,it's a shame no one genuinely trisomic won . people thirst 4 gibberish and non sequiturs .,not_hate
6765,antifa weren't attacking cars in,not_hate
7297,this is the essence of cruz  the obama of the gop,not_hate
3595,trumps white walkers,not_hate
16222,most white south africans see americans as ignorant stupid fools like george w bush .,implicit_hate
17635,1 . america was 85-90 % white well into the 60s . 2 . the founding fathers  pioneers  and colonists were white .,not_hate
8242,we fight for the white #workingclass - happy #laborday,not_hate
2909," rt watch :  "" it may not be too late "" "" abortion pill reversal is possible : #ru486 """,not_hate
19591,honest human is torn apart by hyena breed greedy admin betrayals ppl real sheep's,implicit_hate
17903,i could care less how you feel - what i do know is more whites died from drugs abuse in 2016 in chi than blacks from gun violence .,not_hate
6513,you have the freedom to be crazy have #faith but are not free from criticism . no more burning alive at,not_hate
401,furthermore everything you accuse the white race of has been comitted by every other race imagineable . slavery was around long before and we were the only race to put and end to it . you know nothing but old talking points someone told you to memorize . youre fumbling in ignorance .,not_hate
1362,here's why the #fakenews media is pushing an agenda of hate ! must read !,not_hate
6178,national review on nelson mandela : new york the final word on mainstream conservatism : note : the gop recentl ...,not_hate
10196,you're not white you're tacist,not_hate
6871,even further we need a tab for white culture on your website . colonialism  rape  white on white crime,implicit_hate
7301,thousands of times we cheer the white race who created all modern science,not_hate
4927,can you name any such antifa groups ? because all i've heard in the media are about violent alt right nazis .,not_hate
21200,"my african friend asked me if he could ask for bob and vegene i told him ""u better ask for food""",implicit_hate
